flow_id,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack
xgb-d01-benign-admin-ssh-001,1777648200000,1777648200001,10.42.50.9,49152,10.42.50.8,22,6,92,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,49962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-002,1777649040000,1777649040201,10.42.100.21,53001,10.42.60.5,53,17,5,63,1,156,1,0,0,0,201,0,0,0,0,156,63,63,156,0,0,0,0,0,0,2495,6178,1,1,0,0,0,0,0,0,0,59209,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-https-003,1777649880000,1777649889072,198.51.100.22,49174,203.0.113.10,443,6,91,152,3,0,0,2,2,0,9072,9072,0,128,128,52,48,0,52,0,0,100,2,0,0,134,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3016,6055,4535,1519,0,0,0,0,Benign,Benign
xgb-d01-benign-employee-vpn-004,1777650720000,1777650729001,192.0.2.23,49185,203.0.113.20,443,6,91,152,3,0,0,2,2,0,9001,9001,0,128,128,52,48,0,52,0,0,100,2,0,0,135,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3001,5999,4500,1498,0,0,0,0,Benign,Benign
xgb-d01-benign-cloud-update-005,1777651560000,1777651569000,10.42.20.15,49196,52.95.110.5,443,6,91,152,3,0,0,2,2,0,9000,9000,0,128,128,52,48,0,52,0,0,100,2,0,0,135,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,2985,6015,4500,1514,0,0,0,0,Benign,Benign
xgb-d01-benign-admin-rdp-006,1777652400000,1777652401539,10.42.50.9,49207,10.42.50.8,3389,6,91,1000,5,421,4,28,28,24,1539,1539,1197,106,106,621,40,40,621,0,0,0,0,0,0,5194,2187,6,2,0,1,0,252,63618,0,0,0,0,0,0,54,1252,384,501,128,937,398,380,Benign,Benign
xgb-d01-benign-time-sync-007,1777653240000,1777653240018,10.42.100.35,12306,129.6.15.28,123,17,9,76,1,76,1,0,0,0,18,0,0,0,0,76,76,76,76,4,4,0,0,0,0,32000,32000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-008,1777654080000,1777654080063,10.42.100.27,53007,10.42.60.5,53,17,5,73,1,140,1,0,0,0,63,0,0,0,0,140,73,73,140,2,1,0,0,0,0,9125,17500,1,1,0,0,0,0,0,0,0,35422,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-nightly-backup-009,1777654920000,1777654920168,10.42.40.10,49240,10.42.40.12,445,6,41,128,3,128,3,23,19,22,168,168,168,96,96,48,40,40,48,0,0,0,0,0,0,6059,6059,6,0,0,0,0,64240,64240,0,0,0,0,0,0,0,168,84,84,0,168,84,84,Benign,Benign
xgb-d01-attack-vpn-web-probe-010,1777655760000,1777655760644,198.51.100.77,49251,203.0.113.20,443,6,91,80,2,40,1,22,6,20,644,644,0,232,232,40,40,40,40,0,0,0,0,0,0,992,496,3,0,0,0,0,1200,0,0,0,0,0,0,0,644,644,644,0,0,0,0,0,Malicious,Brute_Force_-Web
xgb-d01-benign-backup-smb-011,1777656600000,1777656634364,10.42.20.15,49262,10.42.40.12,445,6,41,88,2,88,2,22,18,22,34364,171,34364,95,95,48,40,40,48,0,0,0,0,0,0,20,20,4,0,0,0,0,64240,8192,0,0,0,0,0,0,171,171,171,0,34364,34364,34364,0,Benign,Benign
xgb-d01-benign-internal-dns-012,1777657440000,1777657440076,10.42.100.31,53011,10.42.60.5,53,17,5,73,1,140,1,0,0,0,76,0,0,0,0,140,73,73,140,1,0,0,0,0,0,7584,14545,1,1,0,0,0,0,0,0,0,17637,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-time-sync-013,1777658280000,1777658280019,10.42.100.41,12312,129.6.15.28,123,17,9,76,1,76,1,0,0,0,19,0,0,0,0,76,76,76,76,4,4,0,0,0,0,30400,30400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-backup-smb-014,1777659120000,1777659120182,10.42.20.15,49295,10.42.40.12,445,6,41,132,3,132,3,23,19,22,182,173,182,99,99,52,40,40,52,0,0,0,0,0,0,5770,5770,6,0,0,0,0,16422,8192,0,0,0,0,0,0,0,172,86,86,8,173,90,82,Benign,Benign
xgb-d01-benign-internal-dns-015,1777659960000,1777659960057,10.42.100.34,53014,10.42.60.5,53,17,5,73,1,140,1,0,0,0,57,0,0,0,0,140,73,73,140,2,1,0,0,0,0,10068,19310,1,1,0,0,0,0,0,0,0,15541,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-016,1777660800000,1777660800030,10.42.100.35,53015,10.42.60.5,53,17,5,70,1,183,1,0,0,0,30,0,0,0,0,183,70,70,183,6,2,0,0,0,0,18064,47225,1,1,0,0,0,0,0,0,0,2839,1,9,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-017,1777661640000,1777661640036,10.42.100.36,53016,10.42.60.5,53,17,5,57,1,89,1,0,0,0,36,0,0,0,0,89,57,57,89,2,1,0,0,0,0,12324,19243,2,0,0,0,0,0,0,0,0,20926,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-staff-saas-018,1777662480000,1777662596892,10.42.100.42,49339,198.51.100.150,443,6,91,2114,27,116092,86,26,26,26,116892,116892,116829,128,128,1500,40,40,1500,0,0,0,0,0,0,144,7945,29,4,2,2,76,8192,29200,0,0,0,0,0,0,0,58382,4495,15509,0,58394,1374,8830,Benign,Benign
xgb-d01-attack-portal-sql-injection-019,1777663320000,1777663376639,198.51.100.88,49350,203.0.113.10,80,6,7,61207,155,76715,105,219,219,27,56639,56639,56639,127,127,1109,40,40,1109,1,1,0,0,0,0,8645,10835,58,0,101,50,51,8192,26883,0,0,0,0,0,0,0,1115,367,481,0,1180,544,554,Malicious,SQL_Injection
xgb-d01-benign-patient-portal-https-020,1777664160000,1777664160292,198.51.100.39,49361,203.0.113.10,443,6,91,965,10,4183,9,31,31,27,292,292,282,128,128,1500,40,40,1500,14,3,0,0,0,0,26348,114211,12,3,1,1,2,8192,29200,0,0,0,0,0,0,0,159,32,51,0,170,35,59,Benign,Benign
xgb-d01-benign-patient-portal-https-021,1777665000000,1777665000287,198.51.100.40,49372,203.0.113.10,443,6,91,918,10,4186,9,31,31,27,287,271,270,128,128,1500,40,40,1500,14,3,0,0,0,0,25500,116277,12,3,1,1,2,8192,29200,0,0,0,0,0,0,0,149,29,46,0,167,33,57,Benign,Benign
xgb-d01-benign-staff-saas-022,1777665840000,1777665903788,10.42.100.46,49383,198.51.100.150,443,6,91,23354,369,1097974,781,26,26,26,63788,63788,63726,128,128,1500,40,40,1500,17,0,0,0,0,0,2928,137700,350,52,5,2,741,8192,29200,0,0,0,0,0,0,0,58310,172,3037,0,58469,81,2093,Benign,Benign
xgb-d01-benign-internal-dns-023,1777666680000,1777666680019,10.42.100.42,53022,10.42.60.5,53,17,5,71,1,127,1,0,0,0,19,0,0,0,0,127,71,71,127,6,3,0,0,0,0,28400,50800,2,0,0,0,0,0,0,0,0,17428,1,30,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-time-sync-024,1777667520000,1777667520019,10.42.100.52,12323,129.6.15.28,123,17,9,76,1,76,1,0,0,0,19,0,0,0,0,76,76,76,76,4,4,0,0,0,0,30400,30400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-https-025,1777668360000,1777668369012,198.51.100.44,49416,203.0.113.10,443,6,91,152,3,0,0,2,2,0,9012,9012,0,128,128,52,48,0,52,0,0,100,2,0,0,134,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3012,5999,4505,1493,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-026,1777669200000,1777669200001,10.42.100.45,53025,10.42.60.5,53,17,5,64,1,96,1,0,0,0,1,0,0,0,0,96,64,64,96,0,0,0,0,0,0,512000,768000,2,0,0,0,0,0,0,0,0,10942,1,4,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-027,1777670040000,1777670040001,10.42.100.46,53026,10.42.60.5,53,17,5,75,1,91,1,0,0,0,1,0,0,0,0,91,75,75,91,0,0,0,0,0,0,600000,728000,2,0,0,0,0,0,0,0,0,50877,1,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-attack-admin-ssh-bruteforce-028,1777670880000,1777670880562,192.0.2.70,49449,10.42.50.8,22,6,92,3132,23,3765,21,27,27,27,562,562,562,63,63,1028,52,52,1028,6,5,0,0,0,0,44504,53499,33,7,1,2,1,26883,26847,0,0,0,0,0,0,0,330,25,68,0,368,27,81,Malicious,SSH-Bruteforce
xgb-d01-benign-patient-portal-https-029,1777671720000,1777671781312,198.51.100.48,49460,203.0.113.10,443,6,91,1481,15,3910,15,27,27,27,61312,61312,61244,128,128,1500,40,40,1500,0,0,246,6,0,0,193,510,23,4,0,1,2,64240,31088,62976,246,0,0,0,0,0,10077,4378,4911,0,10078,4374,4937,Benign,Benign
xgb-d01-benign-staff-saas-030,1777672560000,1777672560088,10.42.100.54,49471,198.51.100.150,443,6,91,914,10,4187,9,31,31,27,88,87,71,128,128,1500,40,40,1500,47,10,0,0,0,0,82157,376359,12,3,1,1,2,8192,29200,0,0,0,0,0,0,0,19,9,8,0,33,8,11,Benign,Benign
xgb-d01-benign-internal-dns-031,1777673400000,1777673400001,10.42.100.50,53030,10.42.60.5,53,17,5,75,1,160,1,0,0,0,1,0,0,0,0,160,75,75,160,160,75,0,0,0,0,300000,640000,1,1,0,0,0,0,0,0,0,13613,28,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-cloud-update-032,1777674240000,1777674304941,10.42.20.15,49493,52.95.110.5,443,6,91,11730,61,24482,81,26,26,26,64941,64941,64862,128,128,1500,40,40,1500,0,0,0,0,0,0,1444,3015,96,15,4,10,17,8192,29200,0,0,0,0,0,0,0,58442,1081,7472,0,58460,810,6490,Benign,Benign
xgb-d01-benign-time-sync-033,1777675080000,1777675080018,10.42.100.61,12332,129.6.15.28,123,17,9,76,1,76,1,0,0,0,18,0,0,0,0,76,76,76,76,4,4,0,0,0,0,32000,32000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-internal-dns-034,1777675920000,1777675920001,10.42.100.53,53033,10.42.60.5,53,17,5,64,1,125,1,0,0,0,1,0,0,0,0,125,64,64,125,1,0,0,0,0,0,512000,1000000,2,0,0,0,0,0,0,0,0,45990,28,60,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-ehr-api-8443-035,1777676760000,1777676763004,10.42.100.54,49526,10.42.20.15,8443,6,265,180,3,0,0,2,2,0,3004,3004,0,63,63,60,60,0,60,0,0,120,2,0,0,479,0,3,0,0,0,0,26883,0,30720,120,0,0,0,0,1000,2003,1501,501,0,0,0,0,Benign,Benign
xgb-d01-benign-app-db-mssql-036,1777677600000,1777677600001,10.42.20.15,49537,10.42.30.25,1433,6,114,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-attack-backup-smb-tamper-037,1777678440000,1777678441320,10.42.100.45,49548,10.42.40.12,445,6,41,152,3,120,3,22,2,20,1320,1320,1320,99,99,52,40,40,52,0,0,100,2,0,0,920,726,6,0,0,0,0,8192,0,25600,100,0,0,0,0,657,663,660,3,657,663,660,3,Malicious,Brute_Force_-Web
xgb-d01-benign-patient-portal-http-038,1777679280000,1777679280001,198.51.100.57,49559,203.0.113.10,80,6,7,373,5,700,5,27,27,27,1,0,0,128,128,528,40,40,528,700,373,0,0,0,0,1492000,2800000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-app-db-mysql-039,1777680120000,1777680120001,10.42.20.15,49570,10.42.30.25,3306,6,20,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-ehr-https-040,1777680960000,1777681077044,10.42.100.59,49581,10.42.20.15,443,6,91,1504,16,5299,18,26,26,26,117044,117044,116904,128,128,1470,40,40,1470,0,0,0,0,0,0,102,362,24,4,4,0,2,8192,42780,0,0,0,0,0,0,0,58006,7802,19686,0,58123,6876,18684,Benign,Benign
xgb-d01-benign-patient-portal-http-041,1777681800000,1777681800001,198.51.100.60,49592,203.0.113.10,80,6,7,40,1,0,0,20,20,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-http-042,1777682640000,1777682640001,198.51.100.61,49603,203.0.113.10,80,6,7,373,5,700,5,27,27,27,1,0,0,128,128,528,40,40,528,7,3,0,0,0,0,2984000,5600000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-employee-vpn-043,1777683480000,1777683596894,192.0.2.62,49614,203.0.113.20,443,6,91,1136,13,4423,12,26,26,26,116894,116894,116832,128,128,1500,40,40,1500,0,0,0,0,0,0,77,302,18,3,1,1,2,8192,29200,0,0,0,0,0,0,0,58482,9740,21700,0,58567,10620,22497,Benign,Benign
xgb-d01-benign-ehr-https-044,1777684320000,1777684329013,10.42.100.63,49625,10.42.20.15,443,6,91,152,3,0,0,2,2,0,9013,9013,0,128,128,52,48,0,52,0,0,100,2,0,0,134,0,3,0,0,0,0,8192,0,25600,100,0,0,0,0,3004,6008,4506,1502,0,0,0,0,Benign,Benign
xgb-d01-benign-patient-portal-http-045,1777685160000,1777685160001,198.51.100.64,49636,203.0.113.10,80,6,7,373,5,700,5,27,27,27,1,0,0,128,128,528,40,40,528,700,373,0,0,0,0,1492000,2800000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-attack-dns-tunnel-burst-046,1777686000000,1777686000001,10.42.100.46,53045,8.8.8.8,53,17,5,64,1,125,1,0,0,0,1,0,0,0,0,125,64,64,125,1,0,0,0,0,0,512000,1000000,2,0,0,0,0,0,0,0,0,35888,28,60,0,0,0,0,0,0,0,0,0,Malicious,Infilteration
xgb-d01-benign-patient-portal-http-047,1777686840000,1777686840001,198.51.100.21,49658,203.0.113.10,80,6,7,360,5,454,5,27,27,27,1,0,0,128,128,282,40,40,282,454,360,0,0,0,0,1440000,1816000,8,1,1,0,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-app-db-mysql-048,1777687680000,1777687680001,10.42.20.15,49669,10.42.30.25,3306,6,20,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-app-db-mssql-049,1777688520000,1777688520001,10.42.20.15,49680,10.42.30.25,1433,6,114,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-ehr-api-8443-050,1777689360000,1777689360001,10.42.100.69,49691,10.42.20.15,8443,6,0,40,1,0,0,2,2,0,1,0,0,0,0,40,40,0,40,0,0,0,0,0,0,320000,0,1,0,0,0,0,59217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
xgb-d01-benign-employee-vpn-051,1777690200000,1777690207396,192.0.2.70,49702,203.0.113.20,443,6,91,2723,16,43495,38,27,27,27,7396,7362,7361,128,128,1500,40,40,1500,5,0,0,0,0,0,2944,47040,15,4,4,4,27,8192,29200,0,0,0,0,0,0,0,3905,490,1126,0,4014,198,777,Benign,Benign
xgb-d01-benign-patient-portal-http-052,1777691040000,1777691040001,198.51.100.26,49713,203.0.113.10,80,6,7,373,5,700,5,27,27,27,1,0,0,128,128,528,40,40,528,7,3,0,0,0,0,2984000,5600000,8,1,0,1,0,8192,17922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benign,Benign
